id;name;phonenumber;verify_code;referal_code;score;canplay_game_today
1;Metrics Frozen;Practical;Manat District;hack alarm Directives;32691;true
2;protocol;Granite e-markets;Texas;compressing Convertible;29796;true
3;Computer Lithuania;Algeria;bypassing Buckinghamshire Ranch;quantify Internal Investor;77204;true
4;Borders Toys;success Dominica efficient;robust International grey;synthesizing RSS;12233;false
5;purple;e-business TCP;Electronics synthesize;Dynamic Lead SCSI;36554;false
6;Coordinator Outdoors Fish;bandwidth;payment Robust;Fantastic;11090;false
7;responsive cyan HDD;framework Distributed;compress gold;leading-edge Fields;99572;false
8;bandwidth Concrete;needs-based Supervisor Gloves;Car;feed Plastic Slovenia;52763;true
9;feed Federation 1080p;transmitting Generic;Reduced bottom-line Chair;monitor;42087;true
10;quantify Applications clicks-and-mortar;Manager;pricing platforms compressing;Lithuania encryption haptic;29208;false
